t,x,y,vx,vy,v,Ek,Ep,E
0.0,0.0,0.0,35.35533905932738,35.35533905932737,50.0,175.00000000000003,0.0,175.00000000000003
0.01,0.3535533905932738,0.3530630580932737,35.35533905932738,35.25727255932737,49.930704664792174,174.51526878258895,0.4847312174110564,175.0
0.02,0.7071067811865476,0.7051454511865475,35.35533905932738,35.15920605932737,49.861505901068035,174.031883950557,0.9681160494429979,175.0
0.03,1.0606601717798212,1.056247179279821,35.35533905932738,35.06113955932737,49.79240411145691,173.54984550390418,1.450154496095824,175.0
0.04,1.4142135623730951,1.406368242373095,35.35533905932738,34.96307305932737,49.72339970026047,173.06915344263044,1.930846557369536,174.99999999999997
0.05,1.7677669529663689,1.7555086404663687,35.35533905932738,34.86500655932737,49.65449307345651,172.58980776673585,2.4101922332641323,174.99999999999997
0.06,2.1213203435596424,2.1036683735596418,35.35533905932738,34.76694005932737,49.58568463870255,172.11180847622038,2.888191523779613,175.0
0.07,2.474873734152917,2.4508474416529165,35.35533905932738,34.66887355932737,49.51697480533952,171.63515557108406,3.3648444289159807,175.00000000000003
0.08,2.8284271247461903,2.7970458447461897,35.35533905932738,34.57080705932737,49.44836398439527,171.15984905132677,3.8401509486732315,175.0
0.09,3.181980515339464,3.142263582839463,35.35533905932738,34.47274055932737,49.379852588588136,170.6858889169486,4.314111083051367,174.99999999999997
0.1,3.5355339059327378,3.4865006559327374,35.35533905932738,34.37467405932737,49.31144103233036,170.2132751679496,4.78672483205039,175.0
0.11,3.8890872965260117,3.829757064026011,35.35533905932738,34.276607559327374,49.2431297317315,169.74200780432975,5.257992195670296,175.00000000000003
0.12,4.242640687119285,4.172032807119284,35.35533905932738,34.17854105932737,49.17491910460176,169.27208682608892,5.7279131739110865,175.0
0.13,4.59619407771256,4.513327885212559,35.35533905932738,34.08047455932737,49.1068095704553,168.80351223322722,6.196487766772764,175.0
0.14,4.949747468305834,4.853642298305832,35.35533905932738,33.98240805932737,49.038801550513426,168.33628402574467,6.663715974255325,175.0
0.15,5.303300858899107,5.192976046399106,35.35533905932738,33.88434155932737,48.970895467707756,167.87040220364122,7.129597796358771,175.0
0.16,5.656854249492381,5.53132912949238,35.35533905932738,33.78627505932737,48.90309174668333,167.40586676691694,7.594133233083103,175.00000000000006
0.17,6.0104076400856545,5.868701547585654,35.35533905932738,33.68820855932737,48.8353908138016,166.94267771557168,8.05732228442832,175.0
0.18,6.363961030678928,6.205093300678927,35.35533905932738,33.59014205932737,48.76779309714346,166.48083504960553,8.519164950394421,174.99999999999994
0.19,6.7175144212722016,6.5405043887722005,35.35533905932738,33.49207555932737,48.700299026512084,166.0203387690186,8.979661230981407,175.0
0.2,7.0710678118654755,6.874934811865475,35.35533905932738,33.394009059327374,48.63290903343577,165.56118887381072,9.438811126189279,175.0
0.21,7.424621202458749,7.208384569958747,35.35533905932738,33.29594255932737,48.56562355117072,165.10338536398197,9.896614636018034,175.0
0.22,7.778174593052023,7.5408536630520215,35.35533905932738,33.19787605932737,48.498443014703696,164.64692823953234,10.353071760467676,175.00000000000003
0.23,8.131727983645296,7.872342091145295,35.35533905932738,33.09980955932737,48.43136786075466,164.1918175004618,10.808182499538201,175.0
0.24,8.48528137423857,8.202849854238568,35.35533905932738,33.00174305932737,48.364398527779315,163.73805314677037,11.261946853229613,174.99999999999997
0.25,8.838834764831844,8.532376952331843,35.35533905932738,32.90367655932737,48.297535455971556,163.28563517845808,11.71436482154191,175.0
0.26,9.19238815542512,8.860923385425117,35.35533905932738,32.80561005932737,48.23077908726585,162.83456359552488,12.165436404475093,174.99999999999997
0.27,9.545941546018392,9.18848915351839,35.35533905932738,32.70754355932737,48.164129865339596,162.38483839797084,12.615161602029158,175.0
